1966,340155
1967,361663
1968,373303
1969,372352
1970,322195
1971,307550
1972,288379
1973,273204
1974,288232
1975,273773
1976,282159
1977,281860
1978,258156
1979,0
1980,296712
1981,242781
1982,240683
1983,241762
1984,261064
1985,326695
1986,276064
1987,284692
1988,271100
1989,266100
1990,334893
1991,340977
1992,544900
1993,592442
1994,353025
1995,234290
1996,216779
1997,159950
1998,119547
1999,127915
2000,113685
2001,113557
2002,122572
2003,122173
2004,123540
2005,112564
2006,0
2007,0
2008,105948
